INTERSECTION,CAMERA ID,ADDRESS,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,Month,Year,Week
DAMEN AND ELSTON,3072.0,2426 N DAMEN AVE,2018-05-12,4,1162561.16172213,1916207.783017816,41.925731714,-87.678088896,"(41.925731713685686, -87.67808889622799)",May,2018,19
MICHIGAN AND ONTARIO,3082.0,628 N MICHIGAN AVE,2019-10-29,9,1177278.716938521,1904554.133997858,41.893432274,-87.624363719,"(41.893432274200684, -87.62436371928398)",October,2019,44
WESTERN AND NORTH,1853.0,2400 W NORTH AVE,2018-05-31,2,1160100.839010995,1910612.783367238,41.910429862,-87.687284221,"(41.91042986235867, -87.68728422050837)",May,2018,22
HALSTED AND 103RD,2593.0,800 W 103RD STREET,2017-05-01,1,1172778.570616036,1836587.755252818,41.70702632,-87.642896007,"(41.707026319812215, -87.64289600741817)",May,2017,18
79TH AND HALSTED,2541.0,7900 S HALSTED STREET,2021-05-15,13,1172298.707400847,1852444.344822186,41.750549559,-87.644188368,"(41.750549559438944, -87.64418836784098)",May,2021,19
111TH AND HALSTED,2424.0,800 W 111TH ST,2022-12-17,10,1172945.404219168,1831282.917027882,41.692465363,-87.642440901,"(41.692465363421874, -87.64244090105778)",December,2022,50
HOLLYWOOD AND SHERIDAN,1344.0,1000 W HOLLYWOOD AVE,2015-01-09,10,1168580.228926466,1938090.295189338,41.985649799,-87.655335807,"(41.98564979859328, -87.65533580655139)",January,2015,2
PULASKI AND FULLERTON,1481.0,2400 N PULASKI RD,2018-12-09,3,1149275.963864089,1915687.631931757,41.924572574,-87.726919111,"(41.92457257416937, -87.72691911144182)",December,2018,49
CENTRAL AND BELMONT,1602.0,3200 N CENTRAL AVENUE,2019-12-27,2,1138430.432324593,1920731.654410336,41.938617463,-87.766648297,"(41.938617463272884, -87.76664829683827)",December,2019,52
PULASKI AND ARCHER,2154.0,5000 S ARCHER AVE,2021-10-18,1,1150501.818909837,1871162.311703322,41.802365973,-87.723576766,"(41.80236597333895, -87.72357676611004)",October,2021,42
WESTERN AND DEVON,1211.0,6400 N WESTERN AVENUE,2019-07-01,2,1159113.585759434,1942451.622367891,41.997817807,-87.690033035,"(41.997817807026, -87.69003303469276)",July,2019,27
SACRAMENTO AND CHICAGO,1812.0,800 N SACRAMENTO AVEN,2020-06-06,5,1156039.008141929,1905193.084100581,41.895640714,-87.702352328,"(41.89564071387542, -87.70235232767416)",June,2020,23
87TH AND VINCENNES,2413.0,848 W 87TH STREET,2019-10-24,12,1172002.531006759,1847197.326168367,41.736157546,-87.6454274,"(41.73615754630335, -87.64542740049411)",October,2019,43
WESTERN AND CHICAGO,1941.0,800 N WESTERN AVE,2023-06-15,4,1160220.967978608,1905277.507115921,41.895786955,-87.686990586,"(41.89578695485361, -87.68699058611217)",June,2023,24
55TH and PULASKI,2242.0,5500 S PULASKI,2014-10-15,1,1150600.072649439,1867806.44512718,41.793155061,-87.723303765,"(41.793155060731024, -87.72330376464247)",October,2014,42
MILWAUKEE AND CENTRAL,3022.0,5232 N MILWAUKEE AVE,2021-01-21,3,1138074.161743901,1934115.431678809,41.975350275,-87.767632985,"(41.97535027477604, -87.76763298459159)",January,2021,3
LAWRENCE AND WESTERN,1192.0,4800 N WESTERN AVENUE,2015-04-24,3,1159459.622430471,1931821.342623414,41.968640727,-87.689054241,"(41.96864072747715, -87.6890542408374)",April,2015,17
IRVING PARK AND NARRAGANSETT,1023.0,6400 W IRVING PK,2017-06-12,2,1132945.939118726,1925946.304925137,41.953024751,-87.786683238,"(41.95302475075328, -87.78668323766634)",June,2017,24
ROOSEVELT AND HALSTED,2233.0,800 W ROOSEVELT ROAD,2018-09-26,7,1171199.282357741,1894968.056393724,41.867263098,-87.646972686,"(41.86726309836901, -87.64697268601648)",September,2018,39
31ST ST AND MARTIN LUTHER KING DRIVE,2123.0,400 E 31ST STREET,2017-07-15,12,1179437.985396417,1884565.84226022,41.838534018,-87.617046113,"(41.838534018118914, -87.61704611345726)",July,2017,28
ARCHER AND CICERO,2084.0,5400 S ARCHER AVE,2023-05-06,9,1145209.426392053,1869810.657411975,41.798758208,-87.743020541,"(41.798758207843264, -87.74302054146467)",May,2023,18
55TH and PULASKI,2244.0,4000 W 55TH ST,2016-12-01,1,1150621.676903861,1867864.274865394,41.793313334,-87.723223038,"(41.79331333358753, -87.72322303812588)",December,2016,48
55TH AND KEDZIE,2162.0,5500 S KEDZIE AVENUE,2023-06-19,3,1155945.854705238,1867941.621374192,41.793420237,-87.703697508,"(41.793420236755864, -87.70369750845424)",June,2023,25
75TH AND STATE,2621.0,7500 S STATE STREET,2021-08-25,62,1177538.763040612,1855235.551345519,41.758092176,-87.624902228,"(41.75809217638291, -87.6249022282473)",August,2021,34
WESTERN AND 71ST,2614.0,2400 W 71ST STREET,2016-11-22,1,1161584.506819846,1857557.788853485,41.764810388,-87.683308769,"(41.76481038827884, -87.68330876944678)",November,2016,47
GRAND AND OAK PARK,1524.0,6800 W GRAND AVENUE,2014-09-26,13,1130668.89526974,1915248.469290467,41.923708193,-87.795300781,"(41.92370819286044, -87.79530078123082)",September,2014,39
CENTRAL AND BELMONT,1602.0,3200 N CENTRAL AVENUE,2019-04-14,1,1138430.432324593,1920731.654410336,41.938617463,-87.766648297,"(41.938617463272884, -87.76664829683827)",April,2019,15
71ST AND ASHLAND,2391.0,7100 S ASHLAND,2015-10-08,3,1166868.379865725,1857616.168087255,41.764859382,-87.663940176,"(41.764859382425385, -87.66394017630476)",October,2015,41
CORTLAND AND ASHLAND,1723.0,1600 W CORTLAND ST,2016-04-08,6,1165377.660768235,1912768.773647285,41.916235337,-87.667837772,"(41.91623533746878, -87.66783777212962)",April,2016,14
PULASKI AND NORTH,1992.0,1600 N PULASKI AVENUE,2015-12-25,1,1149432.959240306,1910369.112502195,41.90997501,-87.726480523,"(41.909975010236906, -87.72648052306623)",December,2015,52
CICERO AND NORTH,2033.0,4800 W NORTH AVENUE,2018-03-15,5,1144053.733747163,1910243.80567041,41.90973389,-87.746244973,"(41.909733890131285, -87.74624497295898)",March,2018,11
WESTERN AND NORTH,1853.0,2400 W NORTH AVE,2016-02-11,3,1160100.839010995,1910612.783367238,41.910429862,-87.687284221,"(41.91042986235867, -87.68728422050837)",February,2016,6
STONEY ISLAND AND 76TH,2632.0,7600 S STONY ISLAND A,2022-02-09,13,1188092.796191935,1854889.354158304,41.756897173,-87.586234285,"(41.75689717260223, -87.58623428506996)",February,2022,6
CENTRAL AND ADDISON,1682.0,3600 N CENTRAL AVENUE,2014-09-06,7,1138343.117435682,1923392.067464765,41.945919491,-87.766904594,"(41.945919490555106, -87.76690459426293)",September,2014,36
DIVISION AND DAMEN,1734.0,2000 W DIVISION,2021-01-26,5,1162815.710860194,1908034.672555531,41.903298793,-87.677383247,"(41.903298792681944, -87.67738324739636)",January,2021,4
STATE AND 79TH,2651.0,7900 S STATE STREET,2023-07-10,16,1177618.166929966,1852621.870232838,41.750918138,-87.624690123,"(41.7509181383154, -87.62469012251644)",July,2023,28
KIMBALL AND DIVERSEY,1583.0,3400 W DIVERSEY AVENUE,2021-05-29,3,1153211.149172713,1918454.477800566,41.932087747,-87.71238583,"(41.932087747378944, -87.71238582951281)",May,2021,21
99TH AND HALSTED,2431.0,9900 S HALSTED ST,2020-12-05,21,1172689.754200318,1839171.652197216,41.714118868,-87.643145408,"(41.714118868089905, -87.64314540818165)",December,2020,49
WESTERN AND MARQUETTE,2672.0,6700 S WESTERN AVENUE,2020-12-27,12,1161488.747635042,1860134.788366884,41.771884028,-87.683588402,"(41.77188402771193, -87.68358840206334)",December,2020,52
4700 WESTERN,2142.0,4700 S WESTERN AVENUE,2020-10-22,1,1161120.438879703,1873431.066474726,41.808378408,-87.684570717,"(41.808378407946726, -87.68457071689552)",October,2020,43
SACRAMENTO AND LAKE,1821.0,150 N SACRAMENTO BOUL,2022-01-29,7,1156319.560664766,1900957.489351962,41.884012178,-87.701436479,"(41.88401217771363, -87.7014364786693)",January,2022,4
LAWRENCE AND CICERO,1041.0,4800 N CICERO AVE,2022-05-18,4,1143464.651785526,1931490.551883203,41.968048007,-87.747875985,"(41.968048007293845, -87.74787598468126)",May,2022,20
CENTRAL AND BELMONT,1604.0,5600 W BELMONT AVENUE,2018-10-16,2,1138453.617438343,1920755.972768412,41.938683775,-87.766562494,"(41.93868377475747, -87.76656249384537)",October,2018,42
WESTERN AND TOUHY,1252.0,7200 N WESTERN AVENUE,2018-09-23,5,1158975.66256211,1947754.286963361,42.012371335,-87.690393917,"(42.012371334791766, -87.69039391737863)",September,2018,38
STONY ISLAND/CORNELL AND 67TH,2721.0,6700 S STONY ISLAND A,2021-07-15,18,1187984.143047539,1860863.338367666,41.773292896,-87.586442368,"(41.77329289585066, -87.58644236831432)",July,2021,28
NORTHWEST HIGHWAY AND FOSTER,3002.0,5200 N NORTHWEST HWY,2019-08-10,1,1137806.147689466,1934042.034460217,41.975153719,-87.76862036,"(41.975153718866956, -87.76862036015007)",August,2019,32
CENTRAL AND ADDISON,1682.0,3600 N CENTRAL AVENUE,2022-06-11,1,1138343.117435682,1923392.067464765,41.945919491,-87.766904594,"(41.945919490555106, -87.76690459426293)",June,2022,23
KEDZIE AND 47TH,2101.0,4700 S KEDZIE AVE,2018-09-09,8,1155791.949302478,1873270.778481327,41.808047272,-87.704118822,"(41.80804727165029, -87.70411882229871)",September,2018,36
WESTERN AND CERMAK,1003.0,2400 W CERMAK ROAD,2018-11-21,1,1160678.000607329,1889375.645335924,41.852141307,-87.685752642,"(41.85214130680468, -87.6857526415569)",November,2018,47
HARLEM AND BELMONT,1394.0,7200 W BELMONT AVE,2023-09-19,3,1127504.698153561,1920475.415440844,41.938105479,-87.806809552,"(41.93810547939496, -87.80680955240743)",September,2023,38
55TH AND KEDZIE,2163.0,3200 W 55TH STREET,2020-09-13,3,1155966.956993183,1868015.593764152,41.793622803,-87.703618141,"(41.79362280329978, -87.70361814062049)",September,2020,37
PULASKI AND 79TH,2494.0,4000 W 79TH STREET,2020-02-13,2,1151074.116357501,1851966.830243835,41.749679359,-87.721978345,"(41.74967935883473, -87.72197834524168)",February,2020,7
PULASKI AND LAWRENCE,1172.0,4800 N PULASKI ROAD,2020-12-26,1,1148821.701520117,1931605.974570937,41.968262595,-87.728175316,"(41.968262595100775, -87.7281753157596)",December,2020,52
CENTRAL AND FULLERTON,1444.0,5600 W FULLERTON AVENU,2022-09-09,8,1138627.279189421,1915438.969256439,41.924090199,-87.76605353,"(41.92409019883488, -87.76605353016079)",September,2022,36
ADDISON AND HARLEM,1591.0,3600 N HARLEM AVENUE,2023-07-03,6,1127394.594070737,1923110.532422811,41.945338412,-87.807154769,"(41.94533841246591, -87.80715476912044)",July,2023,27
BELMONT AND KEDZIE,1373.0,3200 W BELMONT,2015-09-22,1,1154461.587940363,1921143.091003516,41.939440561,-87.707718516,"(41.93944056117365, -87.70771851630873)",September,2015,39
CENTRAL AND BELMONT,1604.0,5600 W BELMONT AVENUE,2016-09-18,3,1138453.617438343,1920755.972768412,41.938683775,-87.766562494,"(41.93868377475747, -87.76656249384537)",September,2016,37
111TH AND HALSTED,2424.0,800 W 111TH ST,2021-10-05,3,1172945.404219168,1831282.917027882,41.692465363,-87.642440901,"(41.692465363421874, -87.64244090105778)",October,2021,40
ASHLAND AND MADISON,1911.0,0 N ASHLAND AVE,2016-06-26,5,1165717.27454303,1900112.623986909,41.881498729,-87.666951222,"(41.88149872915566, -87.66695122185307)",June,2016,25
ROOSEVELT AND KOSTNER,2321.0,1200 S KOSTNER,2022-01-10,3,1147196.304001978,1894305.883269746,41.865938839,-87.735108549,"(41.8659388389088, -87.73510854901264)",January,2022,2
HOLLYWOOD AND SHERIDAN,1344.0,1000 W HOLLYWOOD AVE,2023-08-25,33,1168580.228926466,1938090.295189338,41.985649799,-87.655335807,"(41.98564979859328, -87.65533580655139)",August,2023,34
119TH AND HALSTED,2402.0,11900 S HALSTED,2020-11-27,4,1173094.774616191,1825911.054609338,41.677720829,-87.642051845,"(41.67772082924762, -87.64205184498218)",November,2020,48
PULASKI AND DIVERSEY,1542.0,2800 N PULASKI ROAD,2015-09-23,6,1149200.724531183,1918332.222549679,41.931831026,-87.727126873,"(41.93183102561505, -87.72712687300454)",September,2015,39
CENTRAL AND FULLERTON,1442.0,2400 N CENTRAL AVENUE,2020-05-23,1,1138603.468418662,1915431.058212414,41.924068922,-87.766141214,"(41.92406892227644, -87.76614121413186)",May,2020,21
ROOSEVELT AND HALSTED,2234.0,800 W ROOSEVELT ROAD,2023-08-08,13,1171199.282357741,1894968.056393724,41.867263098,-87.646972686,"(41.86726309836901, -87.64697268601648)",August,2023,32
4700 WESTERN,2141.0,4700 S WESTERN AVENUE,2018-05-02,5,1161120.438879703,1873431.066474726,41.808378408,-87.684570717,"(41.808378407946726, -87.68457071689552)",May,2018,18
WESTERN AND CHICAGO,1943.0,2400 W CHICAGO AVE,2018-01-07,1,1160226.686812944,1905300.904544474,41.895851041,-87.686968935,"(41.895851041123755, -87.68696893468467)",January,2018,1
ROOSEVELT AND HALSTED,2233.0,800 W ROOSEVELT ROAD,2019-10-02,6,1171199.282357741,1894968.056393724,41.867263098,-87.646972686,"(41.86726309836901, -87.64697268601648)",October,2019,40
COLUMBUS AND ILLINOIS,1952.0,500 N COLUMBUS DRIVE,2022-10-20,6,1178372.808407292,1903693.06016042,41.891044569,-87.620371839,"(41.891044569124276, -87.620371839074)",October,2022,42
99TH AND HALSTED,2433.0,800 W 99TH ST,2023-08-16,25,1172710.642565684,1839246.330602143,41.714323337,-87.643066714,"(41.71432333701137, -87.64306671421937)",August,2023,33
ASHLAND AND LAWRENCE,1143.0,1600 W LAWRENCE AVENUE,2016-03-19,4,1164771.946929007,1931988.254061312,41.968987457,-87.669516307,"(41.96898745654617, -87.66951630654926)",March,2016,11
WESTERN AND FULLERTON,1672.0,2400 N WESTERN AVENUE,2020-11-15,3,1159923.309342995,1915897.778561358,41.924935944,-87.687790255,"(41.92493594409127, -87.68779025471278)",November,2020,46
PULASKI AND 63RD,2342.0,6300 S PULASKI RD,2019-11-01,4,1150746.00309079,1862516.747695325,41.778636469,-87.722906356,"(41.77863646878099, -87.72290635568541)",November,2019,44
JEFFERY AND 95TH,2523.0,2000 E 95TH ST,2021-08-22,3,1191188.381103057,1842410.411853539,41.722579473,-87.575292523,"(41.722579473126416, -87.57529252250366)",August,2021,33
PULASKI AND 63RD,2343.0,4000 W 63RD ST,2023-04-10,5,1150768.346768175,1862564.615405259,41.77876739,-87.722823195,"(41.778767390084305, -87.72282319530368)",April,2023,15
ADDISON AND HARLEM,1593.0,7200 W ADDISON,2023-04-10,3,1127417.488447099,1923123.407710965,41.945373358,-87.807070326,"(41.94537335809189, -87.80707032561135)",April,2023,15
115TH AND HALSTED,2553.0,800 W 115TH STREET,2017-02-08,2,1173010.735357888,1828632.242070332,41.685190056,-87.642279564,"(41.68519005571938, -87.64227956401977)",February,2017,6
COTTAGE GROVE AND 71ST,2572.0,7100 S COTTAGE GROVE,2021-03-16,5,1182746.23698699,1858088.011064538,41.765800351,-87.605729127,"(41.76580035131893, -87.6057291269901)",March,2021,11
KIMBALL AND DIVERSEY,1583.0,3400 W DIVERSEY AVENUE,2015-06-19,3,1153211.149172713,1918454.477800566,41.932087747,-87.71238583,"(41.932087747378944, -87.71238582951281)",June,2015,25
ASHLAND AND 87TH,2452.0,8700 S ASHLAND AVE,2018-01-17,2,1167150.470087748,1846991.212339794,41.735696989,-87.663209544,"(41.73569698863625, -87.66320954445679)",January,2018,3
HAMLIN AND MADISON,1903.0,3800 W MADISON STREET,2022-03-04,11,1151032.709141294,1899784.033986533,41.880897273,-87.720881226,"(41.880897273491264, -87.72088122613924)",March,2022,9
63RD AND STATE,2712.0,6300 S STATE ST,2017-08-13,4,1177303.801895084,1863220.216755923,41.780008277,-87.625522512,"(41.78000827740796, -87.6255225119157)",August,2017,32
PULASKI AND 63RD,2342.0,6300 S PULASKI RD,2021-10-01,5,1150746.00309079,1862516.747695325,41.778636469,-87.722906356,"(41.77863646878099, -87.72290635568541)",October,2021,39
CALIFORNIA AND DIVERSEY,1511.0,2800 N CALIFORNIA AVE,2022-03-24,7,1157189.355049829,1918495.644754069,41.932120719,-87.6977653,"(41.93212071910647, -87.69776530036465)",March,2022,12
STATE AND 79TH,2651.0,7900 S STATE STREET,2021-06-08,16,1177618.166929966,1852621.870232838,41.750918138,-87.624690123,"(41.7509181383154, -87.62469012251644)",June,2021,23
HALSTED AND NORTH,1764.0,800 W NORTH AVENUE,2021-02-15,8,1170700.68422007,1910913.190749698,41.91102851,-87.648335806,"(41.91102850981186, -87.64833580602037)",February,2021,7
CICERO AND WASHINGTON,1891.0,100 N CICERO AVENUE,2014-10-10,10,1144328.984091479,1900095.170838459,41.88187971,-87.745489247,"(41.88187970991601, -87.7454892473012)",October,2014,41
ELSTON AND ADDISON,1403.0,3216 W ADDISON ST,2016-05-17,6,1154199.729816868,1923799.345386665,41.946734755,-87.708609774,"(41.946734754927796, -87.7086097735515)",May,2016,20
WESTERN AND MARQUETTE,2672.0,6700 S WESTERN AVENUE,2022-12-26,13,1161488.747635042,1860134.788366884,41.771884028,-87.683588402,"(41.77188402771193, -87.68358840206334)",December,2022,52
CENTRAL AND LAKE,1742.0,400 N CENTRAL AVENUE,2015-01-26,4,1138928.478257537,1902217.926149854,41.887804621,-87.765268498,"(41.88780462053497, -87.76526849810371)",January,2015,5
HOLLYWOOD AND SHERIDAN,1344.0,1000 W HOLLYWOOD AVE,2016-11-27,11,1168580.228926466,1938090.295189338,41.985649799,-87.655335807,"(41.98564979859328, -87.65533580655139)",November,2016,47
KEDZIE AND ARMITAGE,1832.0,2000 N KEDZIE AVENUE,2019-06-11,7,1154684.031809326,1913129.496340896,41.917446172,-87.707116072,"(41.91744617191702, -87.70711607187832)",June,2019,24
PULASKI AND 79TH,2494.0,4000 W 79TH STREET,2018-12-23,1,1151074.116357501,1851966.830243835,41.749679359,-87.721978345,"(41.74967935883473, -87.72197834524168)",December,2018,51
ROOSEVELT AND PULASKI,2314.0,4000 W ROOSEVELT ROAD,2022-02-09,4,1149885.032049683,1894449.464076882,41.866281003,-87.72523422,"(41.866281002664536, -87.72523421983905)",February,2022,6
WENTWORTH AND GARFIELD,2264.0,200 W GARFIELD BLVD,2021-06-14,38,1175889.574397302,1868551.750512227,41.794670385,-87.630547476,"(41.79467038468937, -87.63054747605638)",June,2021,24
79TH AND HALSTED,2543.0,800 W 79TH STREET,2016-05-28,2,1172320.105719411,1852517.9814434,41.750751157,-87.644107793,"(41.75075115747316, -87.64410779300933)",May,2016,21
CORTLAND AND ASHLAND,1723.0,1600 W CORTLAND ST,2021-03-27,1,1165377.660768235,1912768.773647285,41.916235337,-87.667837772,"(41.91623533746878, -87.66783777212962)",March,2021,12
LAKE SHORE DR AND BELMONT,1412.0,3200 N LAKESHORE DRIV,2021-06-21,5,1173053.220555078,1921821.380831705,41.940909163,-87.63936916,"(41.94090916326764, -87.63936915995522)",June,2021,25
DAMEN AND 63RD,2702.0,6300 S DAMEN AVENUE,2014-10-22,1,1164069.407943298,1862830.277442834,41.779226921,-87.674052731,"(41.77922692069256, -87.67405273137854)",October,2014,43
CICERO AND FULLERTON,1474.0,4800 W FULLERTON AVE,2021-02-26,3,1143967.570794243,1915568.504954477,41.924347036,-87.74642764,"(41.924347036010694, -87.74642763965628)",February,2021,8
IRVING PARK AND NARRAGANSETT,1023.0,6400 W IRVING PK,2021-06-05,4,1132945.939118726,1925946.304925137,41.953024751,-87.786683238,"(41.95302475075328, -87.78668323766634)",June,2021,22
ELSTON AND LAWRENCE,1284.0,4440 W LAWRENCE AVENUE,2017-07-29,8,1145715.061027481,1931571.0474838,41.968226398,-87.739599251,"(41.96822639754791, -87.73959925065756)",July,2017,30
BELMONT AND KEDZIE,1372.0,3200 N KEDZIE AVE,2021-03-21,19,1154426.977874407,1921110.466549542,41.93935173,-87.707846594,"(41.93935173030961, -87.70784659359776)",March,2021,11
HALSTED AND NORTH,1761.0,1600 N HALSTED STREET,2021-11-05,8,1170678.283433825,1910880.991397547,41.910940644,-87.648419043,"(41.91094064391597, -87.64841904272998)",November,2021,44
MILWAUKEE AND DEVON,1274.0,6400 W DEVON AVENUE,2021-01-18,3,1132590.619798275,1942138.532048656,41.997463981,-87.787610243,"(41.99746398102873, -87.78761024341388)",January,2021,3
WESTERN AND CERMAK,1003.0,2400 W CERMAK ROAD,2017-03-16,3,1160678.000607329,1889375.645335924,41.852141307,-87.685752642,"(41.85214130680468, -87.6857526415569)",March,2017,11
CANAL AND ROOSEVELT,2294.0,500 W ROOSEVELT ROAD,2023-05-18,16,1173290.72186561,1895021.166235495,41.867362693,-87.639293195,"(41.867362692616666, -87.63929319464197)",May,2023,20
ASHLAND AND 87TH,2454.0,1600 W 87TH ST,2016-10-27,2,1167171.941297436,1847064.855345151,41.735898617,-87.663128781,"(41.735898617066006, -87.66312878090133)",October,2016,43
83RD AND STONY ISLAND,2563.0,1600 E 83RD STREET,2015-01-15,1,1188383.194217679,1850307.01299095,41.744315875,-87.585316041,"(41.74431587464464, -87.58531604125469)",January,2015,3
COLUMBUS AND ILLINOIS,1952.0,500 N COLUMBUS DRIVE,2019-06-20,1,1178372.808407292,1903693.06016042,41.891044569,-87.620371839,"(41.891044569124276, -87.620371839074)",June,2019,25
CICERO AND FULLERTON,1472.0,2400 N CICERO AVE,2020-06-21,5,1143961.592189569,1915545.343094087,41.92428359,-87.74645019,"(41.92428358982701, -87.74645019028947)",June,2020,25
55TH AND KEDZIE,2163.0,3200 W 55TH STREET,2018-05-18,2,1155966.956993183,1868015.593764152,41.793622803,-87.703618141,"(41.79362280329978, -87.70361814062049)",May,2018,20
STATE AND 79TH,2654.0,1 E 79TH STREET,2017-07-21,31,1177680.113652821,1852598.313477786,41.750852096,-87.624463832,"(41.75085209551078, -87.62446383210285)",July,2017,29
WESTERN AND FOSTER,1072.0,5200 N WESTERN AVE,2016-10-07,2,1159372.922497116,1934478.313674003,41.975933372,-87.689299589,"(41.97593337199358, -87.6892995891816)",October,2016,40
CORTLAND AND ASHLAND,1723.0,1600 W CORTLAND ST,2023-04-07,7,1165377.660768235,1912768.773647285,41.916235337,-87.667837772,"(41.91623533746878, -87.66783777212962)",April,2023,14
BROADWAY/SHERIDAN AND DEVON,1123.0,1200 W DEVON AVE,2018-04-16,3,1167109.644248166,1942688.147952186,41.998298228,-87.660611661,"(41.99829822771884, -87.66061166063517)",April,2018,16
HOLLYWOOD AND SHERIDAN,1344.0,1000 W HOLLYWOOD AVE,2019-05-18,17,1168580.228926466,1938090.295189338,41.985649799,-87.655335807,"(41.98564979859328, -87.65533580655139)",May,2019,20
WESTERN AND FULLERTON,1672.0,2400 N WESTERN AVENUE,2016-07-07,1,1159923.309342995,1915897.778561358,41.924935944,-87.687790255,"(41.92493594409127, -87.68779025471278)",July,2016,27
WESTERN AND ADDISON,1563.0,2400 W ADDISON,2023-05-28,4,1159719.041544334,1923878.577275797,41.946839991,-87.688320193,"(41.9468399910054, -87.68832019252964)",May,2023,21
PULASKI AND FULLERTON,1481.0,2400 N PULASKI RD,2019-04-21,2,1149275.963864089,1915687.631931757,41.924572574,-87.726919111,"(41.92457257416937, -87.72691911144182)",April,2019,16
CICERO AND I55,2252.0,4200 S CICERO AVENUE,2022-12-06,3,1145023.742859509,1876358.276835519,41.816729387,-87.743536712,"(41.81672938674739, -87.74353671247594)",December,2022,49
PULASKI AND FOSTER,1102.0,5200 N PULASKI RD,2014-12-06,3,1148746.251286324,1934286.914361976,41.97562074,-87.728383135,"(41.97562073966174, -87.72838313514907)",December,2014,49
CENTRAL AND FULLERTON,1444.0,5600 W FULLERTON AVENU,2016-02-10,2,1138627.279189421,1915438.969256439,41.924090199,-87.76605353,"(41.92409019883488, -87.76605353016079)",February,2016,6
CICERO AND HARRISON,2022.0,600 S CICERO AVENUE,2016-04-14,6,1144444.97442848,1896894.622216872,41.873094833,-87.745143869,"(41.873094832519136, -87.74514386884542)",April,2016,15
CICERO AND WASHINGTON,1892.0,100 N CICERO AVENUE,2021-02-28,6,1144328.984091479,1900095.170838459,41.88187971,-87.745489247,"(41.88187970991601, -87.7454892473012)",February,2021,8
ARCHER AND CICERO,2084.0,5400 S ARCHER AVE,2017-03-23,8,1145209.426392053,1869810.657411975,41.798758208,-87.743020541,"(41.798758207843264, -87.74302054146467)",March,2017,12
ASHLAND AND DIVISION,1793.0,1600 W DIVISION STREET,2016-04-09,6,1165489.684200442,1908112.312963909,41.903455316,-87.667558994,"(41.903455316483814, -87.66755899396976)",April,2016,14
ASHLAND AND ARCHER,2302.0,3100 S ARCHER AVENUE,2014-07-29,6,1166129.031970482,1884166.613649776,41.837732675,-87.66589445,"(41.83773267497158, -87.66589444999927)",July,2014,31
MICHIGAN AND ONTARIO,3084.0,100 E ONTARIO ST,2020-01-21,4,1177006.928692496,1904549.656773295,41.893426147,-87.625362025,"(41.89342614670784, -87.62536202456768)",January,2020,4
CENTRAL AND IRVING PARK,1183.0,5600 W IRVING PARK ROAD,2021-10-08,2,1138281.535484986,1926078.647777633,41.953292847,-87.767065708,"(41.953292847298, -87.76706570775266)",October,2021,40
ELSTON AND LAWRENCE,1282.0,4800 N ELSTON AVENUE,2019-12-13,2,1145529.344259918,1931501.601268983,41.968039361,-87.740283894,"(41.96803936143674, -87.74028389448999)",December,2019,50
WESTERN AND TOUHY,1252.0,7200 N WESTERN AVENUE,2017-10-19,2,1158975.66256211,1947754.286963361,42.012371335,-87.690393917,"(42.012371334791766, -87.69039391737863)",October,2017,42
CICERO AND I55,2252.0,4200 S CICERO AVENUE,2020-03-01,14,1145023.742859509,1876358.276835519,41.816729387,-87.743536712,"(41.81672938674739, -87.74353671247594)",March,2020,9
CICERO AND 47TH,2204.0,4800 W 47TH ST,2019-07-17,3,1145130.048925744,1873078.44198302,41.807727017,-87.743229366,"(41.80772701677172, -87.74322936566276)",July,2019,29
HAMLIN AND LAKE,1882.0,300 N HAMLIN AVENUE,2021-08-06,4,1150970.026856642,1901381.688308858,41.885282636,-87.721069539,"(41.88528263580913, -87.72106953854511)",August,2021,31
KEDZIE AND 63RD,2361.0,6300 S KEDZIE AVE,2019-05-30,3,1156097.505177228,1862668.051775093,41.77894575,-87.703283119,"(41.77894575017997, -87.70328311900342)",May,2019,22
CICERO AND ARMITAGE,2003.0,4800 W ARMITAGE AVENUE,2016-06-19,1,1144054.25126508,1912907.00926109,41.917041992,-87.746176095,"(41.91704199201953, -87.74617609464687)",June,2016,24
FULLERTON AND NARRAGANSETT,1554.0,6400 W FULLERTON AVENU,2015-01-03,5,1133317.594499059,1915293.661305931,41.923786189,-87.785567206,"(41.92378618871128, -87.78556720562165)",January,2015,1
MICHIGAN AND ONTARIO,3084.0,100 E ONTARIO ST,2018-10-13,1,1177006.928692496,1904549.656773295,41.893426147,-87.625362025,"(41.89342614670784, -87.62536202456768)",October,2018,41
KOSTNER AND NORTH,2011.0,1600 N KOSTNER,2020-03-28,4,1146732.108679105,1910282.120990798,41.909788304,-87.736404667,"(41.90978830394343, -87.73640466739216)",March,2020,13
LAWRENCE AND WESTERN,1192.0,4800 N WESTERN AVENUE,2014-10-06,5,1159459.622430471,1931821.342623414,41.968640727,-87.689054241,"(41.96864072747715, -87.6890542408374)",October,2014,41
KEDZIE AND 63RD,2361.0,6300 S KEDZIE AVE,2016-06-01,3,1156097.505177228,1862668.051775093,41.77894575,-87.703283119,"(41.77894575017997, -87.70328311900342)",June,2016,22
